utc_time,N,NE,SE,S
2015-01-01 00:00:00+00:00,0.255741945290891,0.45905605683698925,0.4213292641827755,0.3585080614539596
2015-01-01 01:00:00+00:00,0.2728460083728632,0.4773014147861073,0.43526516078054023,0.37599203741091264
2015-01-01 02:00:00+00:00,0.2725492689023224,0.4609328579801928,0.40699914137290977,0.3629127154629169
2015-01-01 03:00:00+00:00,0.2792911896730096,0.45150133831118255,0.3960199413659014,0.3620664063956936
2015-01-01 04:00:00+00:00,0.28921415756789426,0.4507173580868064,0.3886281998890106,0.3684906615877974
2015-01-01 05:00:00+00:00,0.2938789020447958,0.4400267186634951,0.37999464584400217,0.36352821296635196
2015-01-01 06:00:00+00:00,0.2814395834397251,0.4085012108529747,0.3567747219512625,0.34117795987286514
2015-01-01 07:00:00+00:00,0.3086565276777281,0.43525156638774937,0.37666343435175004,0.3561807115190956
2015-01-01 08:00:00+00:00,0.3164904497000055,0.4414996512062625,0.37826005051075845,0.35356484712949643
2015-01-01 09:00:00+00:00,0.26205656122399945,0.35887288695231384,0.3010311355602034,0.2841675036171897
2015-01-01 10:00:00+00:00,0.21924299041437142,0.30147603173737997,0.25013653157798454,0.23865915695695739
2015-01-01 11:00:00+00:00,0.17775881243276634,0.24460183000536365,0.20064143064872383,0.19353549623637215
2015-01-01 12:00:00+00:00,0.12759797233254794,0.17162039820889147,0.14578485323489157,0.13729441185999047
2015-01-01 13:00:00+00:00,0.10540185993609541,0.1353672520756179,0.1269014176752612,0.11529037611218591
2015-01-01 14:00:00+00:00,0.0912058436654231,0.11631415692562747,0.1179524826605721,0.10725043997356502
2015-01-01 15:00:00+00:00,0.07297417059539581,0.09507541993798226,0.10517955338850479,0.09482508412296907
2015-01-01 16:00:00+00:00,0.09230971449583493,0.13170867769519579,0.1457060079924714,0.13181263722002168
2015-01-01 17:00:00+00:00,0.11515865372747723,0.18345137250402274,0.19709339473981624,0.17899436771771807
2015-01-01 18:00:00+00:00,0.1162862637155323,0.20155418859416327,0.21102929133758105,0.1884384075360503
2015-01-01 19:00:00+00:00,0.11868391863750205,0.21355146172476827,0.21899266082201807,0.1981517275121354
2015-01-01 20:00:00+00:00,0.1246780559424264,0.22314928022925223,0.22695603030645503,0.2039797194977864
2015-01-01 21:00:00+00:00,0.13067219324735074,0.23274709873373617,0.23491939979089208,0.20786504748822043
2015-01-01 22:00:00+00:00,0.1326069345952768,0.23747473705648942,0.2318050127152954,0.20169083815688715
2015-01-01 23:00:00+00:00,0.1302567579885936,0.23419627430000725,0.21997822635227013,0.1914004892713317
2015-01-02 00:00:00+00:00,0.11366308679595155,0.20402491414977297,0.1872574507479002,0.1593369162017598
2015-01-02 01:00:00+00:00,0.13416184942091064,0.23469517080642846,0.2140254105495474,0.18488006259431614
2015-01-02 02:00:00+00:00,0.1500552154630764,0.2537720229329152,0.2240781789581189,0.19980587705261718
2015-01-02 03:00:00+00:00,0.16047670566846958,0.25942618333902207,0.2275473696246063,0.20803815616106153
2015-01-02 04:00:00+00:00,0.17104063081972243,0.26655327628789627,0.2298338816547912,0.21792458480998772
2015-01-02 05:00:00+00:00,0.18037011977352546,0.2700693088093409,0.23322422707885845,0.22311784499522133
2015-01-02 06:00:00+00:00,0.1865897790760608,0.27082953205722077,0.2365357272605055,0.2261953325123968
2015-01-02 07:00:00+00:00,0.2068155413881224,0.2916406434679336,0.25238362098695943,0.2386591569569574
2015-01-02 08:00:00+00:00,0.19741483496138953,0.2753908715445003,0.23594438794235426,0.22054044919958687
2015-01-02 09:00:00+00:00,0.14207885849493943,0.19456963750426653,0.1632096518097488,0.1540667188285968
2015-01-02 10:00:00+00:00,0.09018505988676273,0.12401141731041164,0.1028930413583199,0.09817185179789739
2015-01-02 11:00:00+00:00,0.06229154965592667,0.08571517119846077,0.07031024492818527,0.06782013115975434
2015-01-02 12:00:00+00:00,0.060831591460865884,0.08181902705307617,0.06950208119337854,0.0654543126309257
2015-01-02 13:00:00+00:00,0.04842788159226006,0.0621957644671758,0.05830605676971461,0.05297125388938273
2015-01-02 14:00:00+00:00,0.036214084984800346,0.04618356230870502,0.04683407399758009,0.04258473351891552
2015-01-02 15:00:00+00:00,0.040261611362977,0.05245540410371435,0.05803009842124402,0.05231728779198293
2015-01-02 16:00:00+00:00,0.06833316527613754,0.0974986315405995,0.10786029163079051,0.09757558859144465
2015-01-02 17:00:00+00:00,0.1035264664822775,0.16492093083694973,0.1771849710287237,0.16091412855431217
2015-01-02 18:00:00+00:00,0.1162862637155323,0.20155418859416327,0.21102929133758105,0.1884384075360503
2015-01-02 19:00:00+00:00,0.11633374203081884,0.2093227199084362,0.21465617248890878,0.19422793092773663
2015-01-02 20:00:00+00:00,0.11850587495517757,0.21210228615849716,0.21572058326158103,0.1938817135820544
2015-01-02 21:00:00+00:00,0.11385300005709767,0.20278955137196814,0.20468224932275741,0.1811101403857762
2015-01-02 22:00:00+00:00,0.11230995481028545,0.2011265630172308,0.1963246536262196,0.17081979150022078
2015-01-02 23:00:00+00:00,0.1092476034743043,0.19642268167097385,0.1844978672631943,0.16052944261466529
2015-01-03 00:00:00+00:00,0.1091763860013745,0.1959712991175451,0.1798657092710094,0.15304730108853243
2015-01-03 01:00:00+00:00,0.11004286525535367,0.192502780549093,0.17554893224850515,0.1516431974088211
2015-01-03 02:00:00+00:00,0.10871347242733084,0.18385524110445894,0.16234235414312695,0.144757319089141
2015-01-03 03:00:00+00:00,0.10647012203004236,0.17211929471531273,0.1509689279240177,0.13802531514531968
2015-01-03 04:00:00+00:00,0.09951454884056578,0.1550855425675033,0.1337215311446058,0.12679248570762924
2015-01-03 05:00:00+00:00,0.09018505988676273,0.13503465440467044,0.11661211353942923,0.11155892249761067
2015-01-03 06:00:00+00:00,0.09795963401493193,0.14218550433004093,0.12418125681176541,0.11875254956900831
2015-01-03 07:00:00+00:00,0.09400706426732836,0.1325639288490607,0.11471982772134517,0.10848143498043518
2015-01-03 08:00:00+00:00,0.08147278903168458,0.11365337555804775,0.0973738743889081,0.09101669332046443
2015-01-03 09:00:00+00:00,0.05525288941469868,0.0756659701405481,0.06347042014823566,0.059914835100009875
2015-01-03 10:00:00+00:00,0.02798846686140912,0.03848630192392085,0.03193232318016825,0.030467126420037117
2015-01-03 11:00:00+00:00,0.01519306089168943,0.02090613931669775,0.01714884022638665,0.016541495404818134
2015-01-03 12:00:00+00:00,0.01483697352704046,0.019955860256847847,0.01695172712033623,0.01596446649534773
2015-01-03 13:00:00+00:00,0.01566784404455472,0.02012215909232158,0.018863724249025313,0.017137758611270877
2015-01-03 14:00:00+00:00,0.0093888368479112,0.01197351615410871,0.012142167332705952,0.011040486467866985
2015-01-03 15:00:00+00:00,0.008807227485651216,0.011474619647687513,0.012694084029647132,0.011444406704496266
2015-01-03 16:00:00+00:00,0.016783584453788167,0.02394703230821742,0.02649200145317662,0.023965934040003946
2015-01-03 17:00:00+00:00,0.025590811939439382,0.0407669716675606,0.04379853216440361,0.0397765261594929
2015-01-03 18:00:00+00:00,0.05987015557631366,0.1037704733356088,0.10864874405499221,0.09701779397895657
2015-01-03 19:00:00+00:00,0.06462985668378823,0.11629039994913122,0.11925342916050488,0.1079044060709648
2015-01-03 20:00:00+00:00,0.0802383528342348,0.14361092291981578,0.14606081158336215,0.131274076904516
2015-01-03 21:00:00+00:00,0.11126543187398182,0.19818069793169613,0.20003038001996748,0.17699400083155403
2015-01-03 22:00:00+00:00,0.1434319904806055,0.2568604298774273,0.2507278708961358,0.2181553963737759
2015-01-03 23:00:00+00:00,0.16247079491050384,0.29211578299785856,0.2743814436221864,0.23873609414488683
2015-01-04 00:00:00+00:00,0.1645123624678246,0.29529921784835567,0.27103052081932927,0.23061922081833652
2015-01-04 01:00:00+00:00,0.17184776217959344,0.30062078058351516,0.2741449078949259,0.23681266444665217
2015-01-04 02:00:00+00:00,0.17914755315489733,0.3029727212566436,0.26752190753163174,0.23854375117506338
2015-01-04 03:00:00+00:00,0.17745020338340392,0.28686549119218785,0.2516148798733628,0.23004219190886616
2015-01-04 04:00:00+00:00,0.18037011977352546,0.2810925459035997,0.24237027519959803,0.22981138034507798
2015-01-04 05:00:00+00:00,0.18503486425042698,0.2770538598992376,0.23925588812400134,0.2288881340899253
2015-01-04 06:00:00+00:00,0.23168230901944217,0.3362800023043825,0.2936985280151277,0.280859204536226
2015-01-04 07:00:00+00:00,0.23815122947723183,0.33582861975095385,0.2906235635607411,0.2748196352837691
2015-01-04 08:00:00+00:00,0.24128479828614277,0.33658884299883374,0.2883764741517663,0.2695494379106062
2015-01-04 09:00:00+00:00,0.2004890558761923,0.27455937736713165,0.23030695310931223,0.21740525879146438
2015-01-04 10:00:00+00:00,0.17570537529662397,0.24160845096683645,0.20046402885327844,0.19126584919245523
2015-01-04 11:00:00+00:00,0.15496922109523217,0.213242621030317,0.17491817030914383,0.16872325312914493
2015-01-04 12:00:00+00:00,0.13056536703795601,0.17561157026026109,0.1491751986589588,0.14048730515906002
2015-01-04 13:00:00+00:00,0.11252360722907484,0.1445136880266732,0.13547583778845454,0.12308026639003633
2015-01-04 14:00:00+00:00,0.09388836847911203,0.1197351615410871,0.12142167332705953,0.11040486467866986
2015-01-04 15:00:00+00:00,0.09058862556669822,0.11802465923335727,0.13056772144779905,0.11771389753196157
2015-01-04 16:00:00+00:00,0.12228040102045665,0.17447123538844117,0.19301315344457248,0.17460894800574303
2015-01-04 17:00:00+00:00,0.1488919967385564,0.23718965333853445,0.25482782350198463,0.23142706129159507
2015-01-04 18:00:00+00:00,0.15543213466927586,0.26940411346744597,0.28206885475815285,0.25187311898382964
2015-01-04 19:00:00+00:00,0.15863692095111662,0.285440072602413,0.2927129624848756,0.2648562694469136
2015-01-04 20:00:00+00:00,0.1580078332735701,0.2828030482113295,0.2876274443487747,0.2585089514427392
2015-01-04 21:00:00+00:00,0.16042922735318307,0.2857489132968642,0.28841589677297635,0.2552006523617756
2015-01-04 22:00:00+00:00,0.16237583827993077,0.29078539231406864,0.2838428727126066,0.2469683732533312
2015-01-04 23:00:00+00:00,0.16107018460955122,0.2895975434892563,0.27201608634958135,0.23667802436777574
2015-01-05 00:00:00+00:00,0.17498133098850438,0.31409098625688736,0.28827791759874116,0.24529498941586703
2015-01-05 01:00:00+00:00,0.15074365103473106,0.2637024391083466,0.24047798938151393,0.207730407409344
2015-01-05 02:00:00+00:00,0.1255564047752272,0.21233985592345964,0.18749398647516072,0.16718450937055723
2015-01-05 03:00:00+00:00,0.1002979410427935,0.1621413645868888,0.14221710601537896,0.13002384760066346
2015-01-05 04:00:00+00:00,0.07308099680479048,0.11389094532301024,0.09820174943431989,0.09311323169154022
2015-01-05 05:00:00+00:00,0.04975727442028289,0.07450187829223197,0.0643377178148575,0.06154975034350933
2015-01-05 06:00:00+00:00,0.06686133750225512,0.09704724898717078,0.08475863560168113,0.08105332748360884
2015-01-05 07:00:00+00:00,0.04700353213366418,0.06628196442453035,0.05735991386067259,0.05424071749021759
2015-01-05 08:00:00+00:00,0.03603604130247587,0.05026976226605959,0.04306921367201704,0.04025738358405157
2015-01-05 09:00:00+00:00,0.017365193816048154,0.023780733472743686,0.019947846332302635,0.018830376745717387
2015-01-05 10:00:00+00:00,0.007774574128169201,0.01069063942331135,0.008870089772268958,0.008463090672232533
2015-01-05 11:00:00+00:00,0.01519306089168943,0.02090613931669775,0.01714884022638665,0.016541495404818134
2015-01-05 12:00:00+00:00,0.05638049940275375,0.07583226897602181,0.06441656305727768,0.060664972682321384
2015-01-05 13:00:00+00:00,0.07549052130558184,0.0969522210811858,0.09088885319984924,0.08257283694521424
2015-01-05 14:00:00+00:00,0.10327720532702321,0.13170867769519579,0.13356384065976545,0.12144535114653685
2015-01-05 15:00:00+00:00,0.08303957343614005,0.10818927096391083,0.1196870779938158,0.1079044060709648
2015-01-05 16:00:00+00:00,0.08391792226894085,0.1197351615410871,0.1324600072658831,0.11982967020001975
2015-01-05 17:00:00+00:00,0.07211956092023826,0.11488873833585261,0.12343222700877379,0.11209748281311636
2015-01-05 18:00:00+00:00,0.05987015557631366,0.1037704733356088,0.10864874405499221,0.09701779397895657
2015-01-05 19:00:00+00:00,0.04817862043700578,0.08668920723480691,0.08889801082874,0.08043782998017376
2015-01-05 20:00:00+00:00,0.04567413930564135,0.08174775612358745,0.08314230813206769,0.0747252437764168
2015-01-05 21:00:00+00:00,0.03881352274673784,0.06913280160408004,0.06977803954184912,0.0617420933133328
2015-01-05 22:00:00+00:00,0.035181431627318335,0.0630035016680482,0.06149928908773143,0.05350981420488843
2015-01-05 23:00:00+00:00,0.033614647222862865,0.060437748206453486,0.05676857454252132,0.04939367465066624
2015-01-06 00:00:00+00:00,0.0687960788501812,0.12348876382749417,0.11334003597899223,0.09644076506948619
2015-01-06 01:00:00+00:00,0.08140157155875477,0.14239931711850717,0.1298581142660175,0.11217442000104576
2015-01-06 02:00:00+00:00,0.08115231040350049,0.13724405321882147,0.12118513759979899,0.10805828044682357
2015-01-06 03:00:00+00:00,0.06326485511930052,0.10227378381634523,0.08970617456354674,0.08201504233272619
2015-01-06 04:00:00+00:00,0.04975727442028289,0.07754277128375164,0.0668607655723029,0.06339624285381462
2015-01-06 05:00:00+00:00,0.04198270029211368,0.06286095980907072,0.05428494940628602,0.051932601852335995
2015-01-06 06:00:00+00:00,0.024878637210141444,0.03611060427429611,0.031538096968067406,0.03015937766831957
2015-01-06 07:00:00+00:00,0.02350176606683209,0.03314098221226518,0.028679956930336294,0.027120358745108795
2015-01-06 08:00:00+00:00,0.03290247249356493,0.04589847859075005,0.039324064657059045,0.036756741533264484
2015-01-06 09:00:00+00:00,0.025258463732433678,0.034590157778536273,0.02901504921062201,0.027389638902861654
2015-01-06 10:00:00+00:00,0.03731795581521217,0.051315069231894474,0.042576430906891,0.040622835226716156
2015-01-06 11:00:00+00:00,0.06381085574509561,0.08780578513013054,0.07202512895082394,0.06947428070023616
2015-01-06 12:00:00+00:00,0.04302722322841734,0.05787199474485876,0.049160008648975066,0.04629695283650843
2015-01-06 13:00:00+00:00,0.05127658050945182,0.06585433884759789,0.061735824814991944,0.05608721000052287
2015-01-06 14:00:00+00:00,0.054991758680622754,0.07013059461692245,0.071118408662992,0.06466570645464949
2015-01-06 15:00:00+00:00,0.04151978671807002,0.054094635481955415,0.0598435389969079,0.0539522030354824
2015-01-06 16:00:00+00:00,0.04435661605644016,0.06328858538600317,0.07001457526910963,0.06333853996286758
2015-01-06 17:00:00+00:00,0.043039092807238964,0.06856263416817011,0.07366116773104243,0.0668968849046017
2015-01-06 18:00:00+00:00,0.03799452180804521,0.0658543388475979,0.06895016449643737,0.06156898464049169
2015-01-06 19:00:00+00:00,0.044653355526980965,0.08034609451030884,0.0823932783290761,0.07455213510357568
2015-01-06 20:00:00+00:00,0.06542511846483762,0.11709813715000363,0.11909573867566452,0.10703886270675919
2015-01-06 21:00:00+00:00,0.08021461367659154,0.1428744566484321,0.14420794838648818,0.1276003261808878
2015-01-06 22:00:00+00:00,0.09471923899662628,0.16962481218320674,0.16557500908235387,0.14406488439777654
2015-01-06 23:00:00+00:00,0.10784699317335168,0.1939044421623716,0.18213250999058925,0.1584713728375542
2015-01-07 00:00:00+00:00,0.12712318917968268,0.22818575924645665,0.2094326751785726,0.17820576154144188
2015-01-07 01:00:00+00:00,0.1432064684829945,0.2505173171529293,0.22845408991243826,0.19734388703887681
2015-01-07 02:00:00+00:00,0.1607734451390104,0.27189859599955196,0.2400837631694131,0.21407772541351838
2015-01-07 03:00:00+00:00,0.16510584140890622,0.26690963093534,0.2341112360560854,0.2140392568195537
2015-01-07 04:00:00+00:00,0.17726029012225777,0.27624612269836524,0.2381914773513291,0.22584911516671458
2015-01-07 05:00:00+00:00,0.18969960872732847,0.2840384109891344,0.24528754916914422,0.23465842318462932
2015-01-07 06:00:00+00:00,0.21613316076310382,0.31371087463294745,0.2739872174100856,0.2620095934935263
2015-01-07 07:00:00+00:00,0.21778303221931072,0.3071064351669907,0.265767600887783,0.2513153243713415
2015-01-07 08:00:00+00:00,0.20838232579257787,0.2906903644080837,0.24905240949470725,0.23279269637734173
2015-01-07 09:00:00+00:00,0.1547080903611563,0.21186471639353469,0.17771717641505982,0.16776153828002763
2015-01-07 10:00:00+00:00,0.12594810087634106,0.17318835865764384,0.14369545431075711,0.13710206889016702
2015-01-07 11:00:00+00:00,0.09267767143930553,0.12752744983185624,0.10460792538095856,0.10090312196939061
2015-01-07 12:00:00+00:00,0.10237511733657917,0.13769543577225016,0.11696691713032,0.11015481881789936
